DSType;dataType;numPoints;numColors;gamma;alpha;s;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime;modeQueryTimeExcludingFirst
AAS2DModeReportDS;osm/1.points;20000;11;0;0;27;10000;10791408;25701600;41582;10471408;25088500;105084;104550
AAS2DModePerColorDS;osm/1.points;20000;11;0;0;27;10;10791408;24805300;36532;8704432;20331500;3388;3335
AAS2DModePerColorDS;osm/1.points;20000;11;0;0;27;100;10791408;24805300;38148;8704432;20331500;4270;4231
AAS2DModePerColorDS;osm/1.points;20000;11;0;0;27;1000;10791408;24805300;41321;8704432;20331500;5301;5230
AAS2DModePerColorDS;osm/1.points;20000;11;0;0;27;5000;10791408;24805300;42456;8704432;20331500;5197;5143
AAS2DModePerColorDS;osm/1.points;20000;11;0;0;27;10000;10791408;24805300;41219;8704432;20331500;4360;4322
AAS2DModeGridDS;osm/1.points;20000;11;0;0;27;10;10791408;24329200;37708;10249312;352486900;11209;11053
AAS2DModeGridDS;osm/1.points;20000;11;0;0;27;100;10791408;24329200;37965;10249312;352486900;14082;13956
AAS2DModeGridDS;osm/1.points;20000;11;0;0;27;1000;10791408;24329200;41345;10249312;352486900;18452;18363
AAS2DModeGridDS;osm/1.points;20000;11;0;0;27;5000;10791408;24329200;42409;10249312;352486900;20508;20416
AAS2DModeGridDS;osm/1.points;20000;11;0;0;27;10000;10791408;24329200;40973;10249312;352486900;18315;18193
AAS2DModeReportDS;osm/1.points;25000;11;0;0;29;10;13751408;32352500;39923;13351408;31044500;2134;2090
AAS2DModeReportDS;osm/1.points;25000;11;0;0;29;100;13751408;32352500;40482;13351408;31044500;4647;4576
AAS2DModeReportDS;osm/1.points;25000;11;0;0;29;1000;13751408;32352500;44210;13351408;31044500;14835;14787
AAS2DModeReportDS;osm/1.points;25000;11;0;0;29;5000;13751408;32352500;47346;13351408;31044500;54863;54734
AAS2DModeReportDS;osm/1.points;25000;11;0;0;29;10000;13751408;32352500;46073;13351408;31044500;101919;101373
AAS2DModeReportDS;osm/1.points;25000;11;0;0;29;25000;13751408;32352500;42130;13351408;31044500;268575;268254
AAS2DModePerColorDS;osm/1.points;25000;11;0;0;29;10;13751408;32499400;40165;11127344;26879800;4047;3904
AAS2DModePerColorDS;osm/1.points;25000;11;0;0;29;100;13751408;32499400;40480;11127344;26879800;4583;4544
AAS2DModePerColorDS;osm/1.points;25000;11;0;0;29;1000;13751408;32499400;44241;11127344;26879800;5701;5653
AAS2DModePerColorDS;osm/1.points;25000;11;0;0;29;5000;13751408;32499400;45678;11127344;26879800;5935;5859
AAS2DModePerColorDS;osm/1.points;25000;11;0;0;29;10000;13751408;32499400;44956;11127344;26879800;5128;5084
AAS2DModePerColorDS;osm/1.points;25000;11;0;0;29;25000;13751408;32499400;41692;11127344;26879800;463;461
AAS2DModeGridDS;osm/1.points;25000;11;0;0;29;10;13751408;30790800;40939;13064648;502268300;13087;12963
AAS2DModeGridDS;osm/1.points;25000;11;0;0;29;100;13751408;30790800;40492;13064648;502268300;16265;16209
AAS2DModeGridDS;osm/1.points;25000;11;0;0;29;1000;13751408;30790800;44271;13064648;502268300;21126;21077
AAS2DModeGridDS;osm/1.points;25000;11;0;0;29;5000;13751408;30790800;46078;13064648;502268300;24736;24637
AAS2DModeGridDS;osm/1.points;25000;11;0;0;29;10000;13751408;30790800;45201;13064648;502268300;22979;22911
AAS2DModeGridDS;osm/1.points;25000;11;0;0;29;25000;13751408;30790800;41786;13064648;502268300;16709;16707
AAS2DModeReportDS;osm/1.points;30000;11;0;0;31;10;16711408;39664800;42737;16231408;38177400;2619;2530
AAS2DModeReportDS;osm/1.points;30000;11;0;0;31;100;16711408;39664800;150136;16231408;38177400;5033;4931
AAS2DModeReportDS;osm/1.points;30000;11;0;0;31;1000;16711408;39664800;45987;16231408;38177400;15077;14935
AAS2DModeReportDS;osm/1.points;30000;11;0;0;31;5000;16711408;39664800;48015;16231408;38177400;53961;53707
AAS2DModeReportDS;osm/1.points;30000;11;0;0;31;10000;16711408;39664800;48240;16231408;38177400;103885;103324
AAS2DModeReportDS;osm/1.points;30000;11;0;0;31;25000;16711408;39664800;46607;16231408;38177400;253142;252514
AAS2DModePerColorDS;osm/1.points;30000;11;0;0;31;10;16711408;38657200;43038;13630896;32452800;4399;4232
AAS2DModePerColorDS;osm/1.points;30000;11;0;0;31;100;16711408;38657200;43666;13630896;32452800;5222;5117
AAS2DModePerColorDS;osm/1.points;30000;11;0;0;31;1000;16711408;38657200;46554;13630896;32452800;6381;6227
AAS2DModePerColorDS;osm/1.points;30000;11;0;0;31;5000;16711408;38657200;47649;13630896;32452800;6212;6128
AAS2DModePerColorDS;osm/1.points;30000;11;0;0;31;10000;16711408;38657200;47218;13630896;32452800;5668;5621
AAS2DModePerColorDS;osm/1.points;30000;11;0;0;31;25000;16711408;38657200;43721;13630896;32452800;3181;3177
AAS2DModeGridDS;osm/1.points;30000;11;0;0;31;10;16711408;38228000;43436;15979164;688085200;14411;14284
AAS2DModeGridDS;osm/1.points;30000;11;0;0;31;100;16711408;38228000;42744;15979164;688085200;17422;17362
AAS2DModeGridDS;osm/1.points;30000;11;0;0;31;1000;16711408;38228000;46708;15979164;688085200;22489;22358
AAS2DModeGridDS;osm/1.points;30000;11;0;0;31;5000;16711408;38228000;48239;15979164;688085200;26739;26691
AAS2DModeGridDS;osm/1.points;30000;11;0;0;31;10000;16711408;38228000;48009;15979164;688085200;26954;26847
AAS2DModeGridDS;osm/1.points;30000;11;0;0;31;25000;16711408;38228000;44845;15979164;688085200;20832;20759
AAS2DModeReportDS;osm/1.points;35000;11;0;0;32;10;19742832;45704600;45032;19182832;44473800;2492;2444
AAS2DModeReportDS;osm/1.points;35000;11;0;0;32;100;19742832;45704600;44572;19182832;44473800;5204;5149
AAS2DModeReportDS;osm/1.points;35000;11;0;0;32;1000;19742832;45704600;49371;19182832;44473800;14848;14722
AAS2DModeReportDS;osm/1.points;35000;11;0;0;32;5000;19742832;45704600;51065;19182832;44473800;51637;51447
AAS2DModeReportDS;osm/1.points;35000;11;0;0;32;10000;19742832;45704600;52985;19182832;44473800;99826;99484
AAS2DModeReportDS;osm/1.points;35000;11;0;0;32;25000;19742832;45704600;51454;19182832;44473800;244292;244099
AAS2DModePerColorDS;osm/1.points;35000;11;0;0;32;10;19742832;45973800;46452;16151568;37305000;5168;4914
AAS2DModePerColorDS;osm/1.points;35000;11;0;0;32;100;19742832;45973800;45519;16151568;37305000;5458;5398
AAS2DModePerColorDS;osm/1.points;35000;11;0;0;32;1000;19742832;45973800;49268;16151568;37305000;6416;6320
AAS2DModePerColorDS;osm/1.points;35000;11;0;0;32;5000;19742832;45973800;51331;16151568;37305000;6794;6685
AAS2DModePerColorDS;osm/1.points;35000;11;0;0;32;10000;19742832;45973800;50910;16151568;37305000;6412;6350
AAS2DModePerColorDS;osm/1.points;35000;11;0;0;32;25000;19742832;45973800;48076;16151568;37305000;4080;4000
AAS2DModeGridDS;osm/1.points;35000;11;0;0;32;10;19742832;46031400;47650;18827836;859145900;15930;15700
AAS2DModeGridDS;osm/1.points;35000;11;0;0;32;100;19742832;46031400;45770;18827836;859145900;19503;19163
AAS2DModeGridDS;osm/1.points;35000;11;0;0;32;1000;19742832;46031400;49626;18827836;859145900;24610;24339
AAS2DModeGridDS;osm/1.points;35000;11;0;0;32;5000;19742832;46031400;51666;18827836;859145900;29032;28799
AAS2DModeGridDS;osm/1.points;35000;11;0;0;32;10000;19742832;46031400;52697;18827836;859145900;29464;29199
AAS2DModeGridDS;osm/1.points;35000;11;0;0;32;25000;19742832;46031400;48700;18827836;859145900;23355;23127
AAS2DModeReportDS;osm/1.points;40000;11;0;0;34;10;22862832;54743600;49161;22222832;51959800;3148;3030
AAS2DModeReportDS;osm/1.points;40000;11;0;0;34;100;22862832;54743600;47082;22222832;51959800;5488;5362
AAS2DModeReportDS;osm/1.points;40000;11;0;0;34;1000;22862832;54743600;51108;22222832;51959800;16657;16496
AAS2DModeReportDS;osm/1.points;40000;11;0;0;34;5000;22862832;54743600;54125;22222832;51959800;61958;61810
AAS2DModeReportDS;osm/1.points;40000;11;0;0;34;10000;22862832;54743600;54418;22222832;51959800;112028;111445
AAS2DModeReportDS;osm/1.points;40000;11;0;0;34;25000;22862832;54743600;54012;22222832;51959800;268158;267784
AAS2DModePerColorDS;osm/1.points;40000;11;0;0;34;10;22862832;53523500;48281;18696368;43929600;5700;5534
AAS2DModePerColorDS;osm/1.points;40000;11;0;0;34;100;22862832;53523500;47920;18696368;43929600;5977;5822
AAS2DModePerColorDS;osm/1.points;40000;11;0;0;34;1000;22862832;53523500;50995;18696368;43929600;6865;6789
AAS2DModePerColorDS;osm/1.points;40000;11;0;0;34;5000;22862832;53523500;52836;18696368;43929600;7199;7116
AAS2DModePerColorDS;osm/1.points;40000;11;0;0;34;10000;22862832;53523500;52560;18696368;43929600;6720;6652
AAS2DModePerColorDS;osm/1.points;40000;11;0;0;34;25000;22862832;53523500;49705;18696368;43929600;4570;4509
AAS2DModeGridDS;osm/1.points;40000;11;0;0;34;10;22862832;52565300;47795;21844048;1115363600;17091;16839
AAS2DModeGridDS;osm/1.points;40000;11;0;0;34;100;22862832;52565300;48419;21844048;1115363600;20733;20392
AAS2DModeGridDS;osm/1.points;40000;11;0;0;34;1000;22862832;52565300;51050;21844048;1115363600;26192;26120
AAS2DModeGridDS;osm/1.points;40000;11;0;0;34;5000;22862832;52565300;52981;21844048;1115363600;30722;30667
AAS2DModeGridDS;osm/1.points;40000;11;0;0;34;10000;22862832;52565300;52350;21844048;1115363600;31879;31763
AAS2DModeGridDS;osm/1.points;40000;11;0;0;34;25000;22862832;52565300;49502;21844048;1115363600;25002;24887
AAS2DModeReportDS;osm/1.points;45000;11;0;0;35;10;25982832;62012400;49900;25262832;59242100;2984;2876
AAS2DModeReportDS;osm/1.points;45000;11;0;0;35;100;25982832;62012400;47828;25262832;59242100;5363;5240
AAS2DModeReportDS;osm/1.points;45000;11;0;0;35;1000;25982832;62012400;52311;25262832;59242100;15241;15063
AAS2DModeReportDS;osm/1.points;45000;11;0;0;35;5000;25982832;62012400;55641;25262832;59242100;53093;52699
AAS2DModeReportDS;osm/1.points;45000;11;0;0;35;10000;25982832;62012400;60654;25262832;59242100;100016;99679
