DSType;dataType;numPoints;numColors;gamma;alpha;s;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime
Amc::GridSelectColor;synthetic;100000;10000;0;0;10;10000;61405680;164075000;123595;32123480;415770200;4249283
Amc::GridSelectColor;synthetic;100000;10000;0;0;10;20000;61405680;164075000;108260;32123480;415770200;4931551
Amc::GridSelectColor;synthetic;100000;10000;0;0;10;40000;61405680;164075000;103559;32123480;415770200;6431117
Amc::GridSelectColor;synthetic;100000;10000;0;0;10;60000;61405680;164075000;103080;32123480;415770200;6424515
Amc::GridSelectColor;synthetic;100000;10000;0;0;10;80000;61405680;164075000;98463;32123480;415770200;5776571
Amc::GridSelectColor;synthetic;100000;10000;0;0;10;100000;61405680;164075000;109217;32123480;415770200;2542466
Amc::GridColumnColor;synthetic;100000;10000;0;0;10;1;61405680;163758000;94131;32118288;417350100;2028971
Amc::GridColumnColor;synthetic;100000;10000;0;0;10;3;61405680;163758000;90931;32118288;417350100;2110793
Amc::GridColumnColor;synthetic;100000;10000;0;0;10;10;61405680;163758000;93836;32118288;417350100;2189794
Amc::GridColumnColor;synthetic;100000;10000;0;0;10;30;61405680;163758000;95598;32118288;417350100;2384281
Amc::GridColumnColor;synthetic;100000;10000;0;0;10;100;61405680;163758000;97554;32118288;417350100;2561476
Amc::GridColumnColor;synthetic;100000;10000;0;0;10;300;61405680;163758000;98610;32118288;417350100;3024528
Amc::GridColumnColor;synthetic;100000;10000;0;0;10;1000;61405680;163758000;104085;32118288;417350100;3718586
Amc::GridColumnColor;synthetic;100000;10000;0;0;10;3000;61405680;163758000;105744;32118288;417350100;4623875
Amc::GridColumnColor;synthetic;100000;10000;0;0;10;10000;61405680;163758000;106812;32118288;417350100;5295901
Amc::GridColumnColor;synthetic;100000;10000;0;0;10;20000;61405680;163758000;109836;32118288;417350100;5563984
Amc::GridColumnColor;synthetic;100000;10000;0;0;10;40000;61405680;163758000;106333;32118288;417350100;6032465
Amc::GridColumnColor;synthetic;100000;10000;0;0;10;60000;61405680;163758000;105456;32118288;417350100;5406177
Amc::GridColumnColor;synthetic;100000;10000;0;0;10;80000;61405680;163758000;106233;32118288;417350100;4526657
Amc::GridColumnColor;synthetic;100000;10000;0;0;10;100000;61405680;163758000;94323;32118288;417350100;1590236
Amc::GridSortedColor;synthetic;100000;10000;0;0;10;1;61405680;164649700;91115;32119856;418892500;2502779
Amc::GridSortedColor;synthetic;100000;10000;0;0;10;3;61405680;164649700;94815;32119856;418892500;2507912
Amc::GridSortedColor;synthetic;100000;10000;0;0;10;10;61405680;164649700;93794;32119856;418892500;2555923
Amc::GridSortedColor;synthetic;100000;10000;0;0;10;30;61405680;164649700;95671;32119856;418892500;2721885
