DSType;dataType;numPoints;numColors;gamma;alpha;s;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime;modeQueryTimeExcludingFirst
AAS2DModeReportDS;synthetic;26748;11;1000;1;29;25000;14786224;35793300;45347;14358256;35136300;367659;367617
AAS2DModePerColorDS;synthetic;26748;11;1000;1;29;10;14786224;34917100;37982;11398320;28063500;5726;5430
AAS2DModePerColorDS;synthetic;26748;11;1000;1;29;100;14786224;34917100;39165;11398320;28063500;7022;6845
AAS2DModePerColorDS;synthetic;26748;11;1000;1;29;1000;14786224;34917100;42752;11398320;28063500;8653;8390
AAS2DModePerColorDS;synthetic;26748;11;1000;1;29;5000;14786224;34917100;43456;11398320;28063500;8787;8517
AAS2DModePerColorDS;synthetic;26748;11;1000;1;29;10000;14786224;34917100;43957;11398320;28063500;7886;7631
AAS2DModePerColorDS;synthetic;26748;11;1000;1;29;25000;14786224;34917100;42208;11398320;28063500;2860;2825
AAS2DModeGridDS;synthetic;26748;11;1000;1;29;10;14786224;34302600;36435;13431788;684136700;12665;12529
AAS2DModeGridDS;synthetic;26748;11;1000;1;29;100;14786224;34302600;38743;13431788;684136700;17394;17261
AAS2DModeGridDS;synthetic;26748;11;1000;1;29;1000;14786224;34302600;42231;13431788;684136700;25265;25076
AAS2DModeGridDS;synthetic;26748;11;1000;1;29;5000;14786224;34302600;43060;13431788;684136700;28654;28492
AAS2DModeGridDS;synthetic;26748;11;1000;1;29;10000;14786224;34302600;42735;13431788;684136700;27263;27097
AAS2DModeGridDS;synthetic;26748;11;1000;1;29;25000;14786224;34302600;39382;13431788;684136700;18392;18418
AAS2DModeReportDS;synthetic;33435;11;1000;1;32;10;18766272;48216300;38991;18231312;43965700;2291;2205
AAS2DModeReportDS;synthetic;33435;11;1000;1;32;100;18766272;48216300;41411;18231312;43965700;4791;4662
AAS2DModeReportDS;synthetic;33435;11;1000;1;32;1000;18766272;48216300;44633;18231312;43965700;18658;18538
AAS2DModeReportDS;synthetic;33435;11;1000;1;32;5000;18766272;48216300;46503;18231312;43965700;77507;77459
AAS2DModeReportDS;synthetic;33435;11;1000;1;32;10000;18766272;48216300;46257;18231312;43965700;149356;149328
AAS2DModeReportDS;synthetic;33435;11;1000;1;32;25000;18766272;48216300;44031;18231312;43965700;365684;365768
AAS2DModePerColorDS;synthetic;33435;11;1000;1;32;10;18766272;46002400;40299;14606832;36814100;6171;5857
AAS2DModePerColorDS;synthetic;33435;11;1000;1;32;100;18766272;46002400;42256;14606832;36814100;7790;7429
AAS2DModePerColorDS;synthetic;33435;11;1000;1;32;1000;18766272;46002400;47021;14606832;36814100;9128;8828
AAS2DModePerColorDS;synthetic;33435;11;1000;1;32;5000;18766272;46002400;47340;14606832;36814100;9493;9198
AAS2DModePerColorDS;synthetic;33435;11;1000;1;32;10000;18766272;46002400;46569;14606832;36814100;9011;8778
AAS2DModePerColorDS;synthetic;33435;11;1000;1;32;25000;18766272;46002400;44400;14606832;36814100;5485;5351
AAS2DModeGridDS;synthetic;33435;11;1000;1;32;10;18766272;43961800;39751;17240020;993934300;14293;14171
AAS2DModeGridDS;synthetic;33435;11;1000;1;32;100;18766272;43961800;47439;17240020;993934300;18700;18474
AAS2DModeGridDS;synthetic;33435;11;1000;1;32;1000;18766272;43961800;45743;17240020;993934300;27385;27061
AAS2DModeGridDS;synthetic;33435;11;1000;1;32;5000;18766272;43961800;46908;17240020;993934300;31792;31477
AAS2DModeGridDS;synthetic;33435;11;1000;1;32;10000;18766272;43961800;48576;17240020;993934300;31761;31579
AAS2DModeGridDS;synthetic;33435;11;1000;1;32;25000;18766272;43961800;45662;17240020;993934300;25673;25596
AAS2DModeReportDS;synthetic;40122;11;1000;1;34;10;22938960;56026800;41518;22297008;53909600;2302;2206
AAS2DModeReportDS;synthetic;40122;11;1000;1;34;100;22938960;56026800;43795;22297008;53909600;4883;4756
AAS2DModeReportDS;synthetic;40122;11;1000;1;34;1000;22938960;56026800;47565;22297008;53909600;19317;19185
AAS2DModeReportDS;synthetic;40122;11;1000;1;34;5000;22938960;56026800;49253;22297008;53909600;79596;79548
AAS2DModeReportDS;synthetic;40122;11;1000;1;34;10000;22938960;56026800;51630;22297008;53909600;151067;151090
AAS2DModeReportDS;synthetic;40122;11;1000;1;34;25000;22938960;56026800;47959;22297008;53909600;372307;372548
AAS2DModePerColorDS;synthetic;40122;11;1000;1;34;10;22938960;54514600;40814;17835024;43496700;6091;5812
AAS2DModePerColorDS;synthetic;40122;11;1000;1;34;100;22938960;54514600;43268;17835024;43496700;7645;7399
AAS2DModePerColorDS;synthetic;40122;11;1000;1;34;1000;22938960;54514600;48051;17835024;43496700;9316;9058
AAS2DModePerColorDS;synthetic;40122;11;1000;1;34;5000;22938960;54514600;48968;17835024;43496700;9933;9682
AAS2DModePerColorDS;synthetic;40122;11;1000;1;34;10000;22938960;54514600;48849;17835024;43496700;9509;9304
AAS2DModePerColorDS;synthetic;40122;11;1000;1;34;25000;22938960;54514600;49001;17835024;43496700;7173;6983
AAS2DModeGridDS;synthetic;40122;11;1000;1;34;10;22938960;54566200;41661;21010188;1349428200;15754;15667
AAS2DModeGridDS;synthetic;40122;11;1000;1;34;100;22938960;54566200;44187;21010188;1349428200;20528;20345
AAS2DModeGridDS;synthetic;40122;11;1000;1;34;1000;22938960;54566200;47532;21010188;1349428200;29892;29699
AAS2DModeGridDS;synthetic;40122;11;1000;1;34;5000;22938960;54566200;49867;21010188;1349428200;34862;34673
