DSType;dataType;numPoints;numColors;gamma;alpha;s;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime;modeQueryTimeExcludingFirst
AAS2DModeGridDS;osm/bieleveld.points;25608;8;0;0;29;10000;14111344;32235500;44832;13981600;477270200;20270;20182
AAS2DModeGridDS;osm/bieleveld.points;25608;8;0;0;29;25000;14111344;32235500;41733;13981600;477270200;15794;15784
AAS2DModeReportDS;osm/bieleveld.points;34144;8;0;0;32;10;19208688;45908500;44589;18662384;43859700;2594;2513
AAS2DModeReportDS;osm/bieleveld.points;34144;8;0;0;32;100;19208688;45908500;43611;18662384;43859700;4984;4910
AAS2DModeReportDS;osm/bieleveld.points;34144;8;0;0;32;1000;19208688;45908500;47380;18662384;43859700;14308;14191
AAS2DModeReportDS;osm/bieleveld.points;34144;8;0;0;32;5000;19208688;45908500;51637;18662384;43859700;48745;48430
AAS2DModeReportDS;osm/bieleveld.points;34144;8;0;0;32;10000;19208688;45908500;53634;18662384;43859700;86684;85639
AAS2DModeReportDS;osm/bieleveld.points;34144;8;0;0;32;25000;19208688;45908500;47390;18662384;43859700;200671;200046
AAS2DModePerColorDS;osm/bieleveld.points;34144;8;0;0;32;10;19208688;44442000;45226;16536608;37619600;3412;3285
AAS2DModePerColorDS;osm/bieleveld.points;34144;8;0;0;32;100;19208688;44442000;44492;16536608;37619600;3855;3793
AAS2DModePerColorDS;osm/bieleveld.points;34144;8;0;0;32;1000;19208688;44442000;48848;16536608;37619600;5187;5011
AAS2DModePerColorDS;osm/bieleveld.points;34144;8;0;0;32;5000;19208688;44442000;51670;16536608;37619600;5392;5282
AAS2DModePerColorDS;osm/bieleveld.points;34144;8;0;0;32;10000;19208688;44442000;50361;16536608;37619600;4889;4832
AAS2DModePerColorDS;osm/bieleveld.points;34144;8;0;0;32;25000;19208688;44442000;47052;16536608;37619600;2724;2693
AAS2DModeGridDS;osm/bieleveld.points;34144;8;0;0;32;10;19208688;43981900;45172;19166100;770535300;15302;15127
AAS2DModeGridDS;osm/bieleveld.points;34144;8;0;0;32;100;19208688;43981900;43862;19166100;770535300;18005;17932
AAS2DModeGridDS;osm/bieleveld.points;34144;8;0;0;32;1000;19208688;43981900;48012;19166100;770535300;22979;22820
AAS2DModeGridDS;osm/bieleveld.points;34144;8;0;0;32;5000;19208688;43981900;51335;19166100;770535300;25396;25236
AAS2DModeGridDS;osm/bieleveld.points;34144;8;0;0;32;10000;19208688;43981900;49500;19166100;770535300;24957;24915
AAS2DModeGridDS;osm/bieleveld.points;34144;8;0;0;32;25000;19208688;43981900;48225;19166100;770535300;19453;19393
AAS2DModeReportDS;osm/bieleveld.points;42680;8;0;0;34;10;24535152;59377500;49035;23852272;56682300;2799;2697
AAS2DModeReportDS;osm/bieleveld.points;42680;8;0;0;34;100;24535152;59377500;47251;23852272;56682300;5163;5050
AAS2DModeReportDS;osm/bieleveld.points;42680;8;0;0;34;1000;24535152;59377500;51122;23852272;56682300;14766;14567
AAS2DModeReportDS;osm/bieleveld.points;42680;8;0;0;34;5000;24535152;59377500;54591;23852272;56682300;51281;50973
AAS2DModeReportDS;osm/bieleveld.points;42680;8;0;0;34;10000;24535152;59377500;56042;23852272;56682300;92409;91521
AAS2DModeReportDS;osm/bieleveld.points;42680;8;0;0;34;25000;24535152;59377500;54645;23852272;56682300;216731;215871
AAS2DModePerColorDS;osm/bieleveld.points;42680;8;0;0;34;10;24535152;57062200;48222;21053632;47922700;3972;3791
AAS2DModePerColorDS;osm/bieleveld.points;42680;8;0;0;34;100;24535152;57062200;46470;21053632;47922700;4409;4332
AAS2DModePerColorDS;osm/bieleveld.points;42680;8;0;0;34;1000;24535152;57062200;50935;21053632;47922700;5306;5201
AAS2DModePerColorDS;osm/bieleveld.points;42680;8;0;0;34;5000;24535152;57062200;52678;21053632;47922700;5506;5407
AAS2DModePerColorDS;osm/bieleveld.points;42680;8;0;0;34;10000;24535152;57062200;52669;21053632;47922700;5276;5199
AAS2DModePerColorDS;osm/bieleveld.points;42680;8;0;0;34;25000;24535152;57062200;53161;21053632;47922700;4353;4217
AAS2DModeGridDS;osm/bieleveld.points;42680;8;0;0;34;10;24535152;56512800;48574;24309596;1099391300;17778;17604
AAS2DModeGridDS;osm/bieleveld.points;42680;8;0;0;34;100;24535152;56512800;46835;24309596;1099391300;20891;20773
AAS2DModeGridDS;osm/bieleveld.points;42680;8;0;0;34;1000;24535152;56512800;52591;24309596;1099391300;26350;26105
AAS2DModeGridDS;osm/bieleveld.points;42680;8;0;0;34;5000;24535152;56512800;53989;24309596;1099391300;29720;29558
AAS2DModeGridDS;osm/bieleveld.points;42680;8;0;0;34;10000;24535152;56512800;54522;24309596;1099391300;30247;30135
AAS2DModeGridDS;osm/bieleveld.points;42680;8;0;0;34;25000;24535152;56512800;53038;24309596;1099391300;26209;25939
AAS2DModeReportDS;osm/bieleveld.points;51216;8;0;0;37;10;29861616;70813800;52216;29042160;67317700;3182;3085
AAS2DModeReportDS;osm/bieleveld.points;51216;8;0;0;37;100;29861616;70813800;51159;29042160;67317700;5902;5768
AAS2DModeReportDS;osm/bieleveld.points;51216;8;0;0;37;1000;29861616;70813800;54968;29042160;67317700;15231;15024
AAS2DModeReportDS;osm/bieleveld.points;51216;8;0;0;37;5000;29861616;70813800;57993;29042160;67317700;47676;47373
AAS2DModeReportDS;osm/bieleveld.points;51216;8;0;0;37;10000;29861616;70813800;59345;29042160;67317700;89404;89049
AAS2DModeReportDS;osm/bieleveld.points;51216;8;0;0;37;25000;29861616;70813800;59305;29042160;67317700;226740;226543
AAS2DModeReportDS;osm/bieleveld.points;51216;8;0;0;37;50000;29861616;70813800;58771;29042160;67317700;627240;623866
AAS2DModePerColorDS;osm/bieleveld.points;51216;8;0;0;37;10;29861616;67490600;51558;25692640;58561000;4605;4350
