DSType;dataType;numPoints;numColors;gamma;alpha;s;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime;modeQueryTimeExcludingFirst
AAS1DModeReportDS;synthetic;300000;50000;5000;0.1;547;200000;2400000;278000;3436;1200000;176100;559883;559815
AAS1DModeReportDS;synthetic;300000;50000;5000;0.1;547;250000;2400000;278000;3165;1200000;176100;700245;700323
AAS1DModeReportDS;synthetic;300000;50000;5000;0.1;547;300000;2400000;278000;2957;1200000;176100;840504;840526
AAS1DModeRangeTreesDS;synthetic;300000;50000;5000;0.1;547;10;2400000;289600;4442;1200008;18474400;607880;606641
AAS1DModeRangeTreesDS;synthetic;300000;50000;5000;0.1;547;100;2400000;289600;4437;1200008;18474400;609816;609519
AAS1DModeRangeTreesDS;synthetic;300000;50000;5000;0.1;547;1000;2400000;289600;4399;1200008;18474400;615774;615549
AAS1DModeRangeTreesDS;synthetic;300000;50000;5000;0.1;547;10000;2400000;289600;4422;1200008;18474400;677541;677662
AAS1DModeRangeTreesDS;synthetic;300000;50000;5000;0.1;547;50000;2400000;289600;4236;1200008;18474400;819618;819676
AAS1DModeRangeTreesDS;synthetic;300000;50000;5000;0.1;547;100000;2400000;289600;3937;1200008;18474400;844966;844971
AAS1DModeRangeTreesDS;synthetic;300000;50000;5000;0.1;547;150000;2400000;289600;3682;1200008;18474400;827766;827893
AAS1DModeRangeTreesDS;synthetic;300000;50000;5000;0.1;547;200000;2400000;289600;3409;1200008;18474400;765085;764979
AAS1DModeRangeTreesDS;synthetic;300000;50000;5000;0.1;547;250000;2400000;289600;3196;1200008;18474400;671221;671325
AAS1DModeRangeTreesDS;synthetic;300000;50000;5000;0.1;547;300000;2400000;289600;2892;1200008;18474400;402800;402650
AAS1DModeChanDS;synthetic;300000;50000;5000;0.1;547;10;2400000;295600;4423;5993688;72676582900;89;82
AAS1DModeChanDS;synthetic;300000;50000;5000;0.1;547;100;2400000;295600;4413;5993688;72676582900;289;286
AAS1DModeChanDS;synthetic;300000;50000;5000;0.1;547;1000;2400000;295600;4352;5993688;72676582900;2374;2348
AAS1DModeChanDS;synthetic;300000;50000;5000;0.1;547;10000;2400000;295600;4361;5993688;72676582900;2497;2496
AAS1DModeChanDS;synthetic;300000;50000;5000;0.1;547;50000;2400000;295600;4218;5993688;72676582900;2250;2246
AAS1DModeChanDS;synthetic;300000;50000;5000;0.1;547;100000;2400000;295600;3939;5993688;72676582900;2051;2046
AAS1DModeChanDS;synthetic;300000;50000;5000;0.1;547;150000;2400000;295600;3699;5993688;72676582900;1866;1862
AAS1DModeChanDS;synthetic;300000;50000;5000;0.1;547;200000;2400000;295600;3430;5993688;72676582900;1613;1607
AAS1DModeChanDS;synthetic;300000;50000;5000;0.1;547;250000;2400000;295600;3123;5993688;72676582900;1283;1283
AAS1DModeChanDS;synthetic;300000;50000;5000;0.1;547;300000;2400000;295600;2879;5993688;72676582900;1025;1024
AAS1DModeGridDS;synthetic;300000;50000;5000;0.1;547;10;2400000;289600;4431;4793688;73063611300;99;93
AAS1DModeGridDS;synthetic;300000;50000;5000;0.1;547;100;2400000;289600;4387;4793688;73063611300;303;294
AAS1DModeGridDS;synthetic;300000;50000;5000;0.1;547;1000;2400000;289600;4353;4793688;73063611300;37491;37319
AAS1DModeGridDS;synthetic;300000;50000;5000;0.1;547;10000;2400000;289600;4377;4793688;73063611300;61850;61841
AAS1DModeGridDS;synthetic;300000;50000;5000;0.1;547;50000;2400000;289600;4255;4793688;73063611300;59341;59313
AAS1DModeGridDS;synthetic;300000;50000;5000;0.1;547;100000;2400000;289600;3983;4793688;73063611300;58967;59028
AAS1DModeGridDS;synthetic;300000;50000;5000;0.1;547;150000;2400000;289600;3754;4793688;73063611300;55729;55674
AAS1DModeGridDS;synthetic;300000;50000;5000;0.1;547;200000;2400000;289600;3394;4793688;73063611300;53875;53954
AAS1DModeGridDS;synthetic;300000;50000;5000;0.1;547;250000;2400000;289600;3190;4793688;73063611300;51667;51676
AAS1DModeGridDS;synthetic;300000;50000;5000;0.1;547;300000;2400000;289600;2894;4793688;73063611300;36178;36022
AAS1DModeReportDS;synthetic;300000;50000;5000;0.2;547;10;2400000;284000;4412;1200000;160200;56;54
AAS1DModeReportDS;synthetic;300000;50000;5000;0.2;547;100;2400000;284000;4412;1200000;160200;282;281
AAS1DModeReportDS;synthetic;300000;50000;5000;0.2;547;1000;2400000;284000;4367;1200000;160200;2730;2731
AAS1DModeReportDS;synthetic;300000;50000;5000;0.2;547;10000;2400000;284000;4337;1200000;160200;27165;27169
AAS1DModeReportDS;synthetic;300000;50000;5000;0.2;547;50000;2400000;284000;4232;1200000;160200;135690;135690
AAS1DModeReportDS;synthetic;300000;50000;5000;0.2;547;100000;2400000;284000;3993;1200000;160200;271289;271286
AAS1DModeReportDS;synthetic;300000;50000;5000;0.2;547;150000;2400000;284000;3743;1200000;160200;406774;406736
AAS1DModeReportDS;synthetic;300000;50000;5000;0.2;547;200000;2400000;284000;3403;1200000;160200;542680;542649
AAS1DModeReportDS;synthetic;300000;50000;5000;0.2;547;250000;2400000;284000;3131;1200000;160200;678850;678883
AAS1DModeReportDS;synthetic;300000;50000;5000;0.2;547;300000;2400000;284000;2934;1200000;160200;814109;814044
AAS1DModeRangeTreesDS;synthetic;300000;50000;5000;0.2;547;10;2400000;275500;4446;1200008;17864800;612981;613075
AAS1DModeRangeTreesDS;synthetic;300000;50000;5000;0.2;547;100;2400000;275500;4423;1200008;17864800;613308;613268
AAS1DModeRangeTreesDS;synthetic;300000;50000;5000;0.2;547;1000;2400000;275500;4396;1200008;17864800;621086;620350
AAS1DModeRangeTreesDS;synthetic;300000;50000;5000;0.2;547;10000;2400000;275500;4344;1200008;17864800;676899;677124
AAS1DModeRangeTreesDS;synthetic;300000;50000;5000;0.2;547;50000;2400000;275500;4241;1200008;17864800;818448;818327
AAS1DModeRangeTreesDS;synthetic;300000;50000;5000;0.2;547;100000;2400000;275500;3957;1200008;17864800;845317;845328
AAS1DModeRangeTreesDS;synthetic;300000;50000;5000;0.2;547;150000;2400000;275500;3724;1200008;17864800;830145;829918
AAS1DModeRangeTreesDS;synthetic;300000;50000;5000;0.2;547;200000;2400000;275500;3405;1200008;17864800;767169;767253
AAS1DModeRangeTreesDS;synthetic;300000;50000;5000;0.2;547;250000;2400000;275500;3234;1200008;17864800;665789;665566
AAS1DModeRangeTreesDS;synthetic;300000;50000;5000;0.2;547;300000;2400000;275500;2922;1200008;17864800;406992;406648
AAS1DModeChanDS;synthetic;300000;50000;5000;0.2;547;10;2400000;272000;4415;5993688;68935353400;92;84
AAS1DModeChanDS;synthetic;300000;50000;5000;0.2;547;100;2400000;272000;4337;5993688;68935353400;295;290
AAS1DModeChanDS;synthetic;300000;50000;5000;0.2;547;1000;2400000;272000;4424;5993688;68935353400;2529;2497
AAS1DModeChanDS;synthetic;300000;50000;5000;0.2;547;10000;2400000;272000;4318;5993688;68935353400;2684;2672
AAS1DModeChanDS;synthetic;300000;50000;5000;0.2;547;50000;2400000;272000;4166;5993688;68935353400;2461;2438
AAS1DModeChanDS;synthetic;300000;50000;5000;0.2;547;100000;2400000;272000;3939;5993688;68935353400;2236;2239
AAS1DModeChanDS;synthetic;300000;50000;5000;0.2;547;150000;2400000;272000;3690;5993688;68935353400;1962;1956
AAS1DModeChanDS;synthetic;300000;50000;5000;0.2;547;200000;2400000;272000;3384;5993688;68935353400;1678;1676
AAS1DModeChanDS;synthetic;300000;50000;5000;0.2;547;250000;2400000;272000;3131;5993688;68935353400;1253;1245
AAS1DModeChanDS;synthetic;300000;50000;5000;0.2;547;300000;2400000;272000;2883;5993688;68935353400;933;932
AAS1DModeGridDS;synthetic;300000;50000;5000;0.2;547;10;2400000;297200;4484;4793688;69665478800;84;73
AAS1DModeGridDS;synthetic;300000;50000;5000;0.2;547;100;2400000;297200;4438;4793688;69665478800;291;288
AAS1DModeGridDS;synthetic;300000;50000;5000;0.2;547;1000;2400000;297200;4426;4793688;69665478800;34356;34295
AAS1DModeGridDS;synthetic;300000;50000;5000;0.2;547;10000;2400000;297200;4420;4793688;69665478800;55513;55518
AAS1DModeGridDS;synthetic;300000;50000;5000;0.2;547;50000;2400000;297200;4263;4793688;69665478800;53968;53890
AAS1DModeGridDS;synthetic;300000;50000;5000;0.2;547;100000;2400000;297200;3990;4793688;69665478800;51964;51863
AAS1DModeGridDS;synthetic;300000;50000;5000;0.2;547;150000;2400000;297200;3770;4793688;69665478800;49009;48704
