DSType;dataType;numPoints;numColors;gamma;alpha;s;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime
AAS1DModeReportDS;synthetic;300000;100;0;0;547;50;8400000;227814793900;480088;1200000;369500;3820
AAS1DModeReportDS;synthetic;300000;100;0;0;547;100;8400000;227814793900;493368;1200000;369500;7196
AAS1DModeReportDS;synthetic;300000;100;0;0;547;500;8400000;227814793900;482839;1200000;369500;23554
AAS1DModeReportDS;synthetic;300000;100;0;0;547;1000;8400000;227814793900;483166;1200000;369500;40449
AAS1DModeReportDS;synthetic;300000;100;0;0;547;5000;8400000;227814793900;480010;1200000;369500;171090
AAS1DModeReportDS;synthetic;300000;100;0;0;547;10000;8400000;227814793900;477348;1200000;369500;325665
AAS1DModeReportDS;synthetic;300000;100;0;0;547;30000;8400000;227814793900;486415;1200000;369500;943721
AAS1DModeReportDS;synthetic;300000;100;0;0;547;60000;8400000;227814793900;478742;1200000;369500;1855803
AAS1DModeReportDS;synthetic;300000;100;0;0;547;100000;8400000;227814793900;502877;1200000;369500;3031651
AAS1DModeReportDS;synthetic;300000;100;0;0;547;250000;8400000;227814793900;483744;1200000;369500;7718046
AAS1DModeRangeTreesDS;synthetic;300000;100;0;0;547;5;8400000;196072442200;539370;1200008;4090300;7881
AAS1DModeRangeTreesDS;synthetic;300000;100;0;0;547;10;8400000;196072442200;488532;1200008;4090300;8110
AAS1DModeRangeTreesDS;synthetic;300000;100;0;0;547;50;8400000;196072442200;483814;1200008;4090300;7986
AAS1DModeRangeTreesDS;synthetic;300000;100;0;0;547;100;8400000;196072442200;483058;1200008;4090300;8072
AAS1DModeRangeTreesDS;synthetic;300000;100;0;0;547;500;8400000;196072442200;484552;1200008;4090300;9064
AAS1DModeRangeTreesDS;synthetic;300000;100;0;0;547;1000;8400000;196072442200;523908;1200008;4090300;10350
AAS1DModeRangeTreesDS;synthetic;300000;100;0;0;547;5000;8400000;196072442200;529839;1200008;4090300;8338
AAS1DModeRangeTreesDS;synthetic;300000;100;0;0;547;10000;8400000;196072442200;519067;1200008;4090300;9260
AAS1DModeRangeTreesDS;synthetic;300000;100;0;0;547;30000;8400000;196072442200;489096;1200008;4090300;10022
AAS1DModeRangeTreesDS;synthetic;300000;100;0;0;547;60000;8400000;196072442200;486573;1200008;4090300;7866
AAS1DModeRangeTreesDS;synthetic;300000;100;0;0;547;100000;8400000;196072442200;482374;1200008;4090300;7350
AAS1DModeRangeTreesDS;synthetic;300000;100;0;0;547;250000;8400000;196072442200;535121;1200008;4090300;6285
AAS1DModeChanDS;synthetic;300000;100;0;0;547;5;8400000;200025423900;491299;5993688;2718643300;322
AAS1DModeChanDS;synthetic;300000;100;0;0;547;10;8400000;200025423900;497774;5993688;2718643300;1394
AAS1DModeChanDS;synthetic;300000;100;0;0;547;50;8400000;200025423900;500330;5993688;2718643300;4575
AAS1DModeChanDS;synthetic;300000;100;0;0;547;100;8400000;200025423900;519753;5993688;2718643300;7518
AAS1DModeChanDS;synthetic;300000;100;0;0;547;500;8400000;200025423900;511677;5993688;2718643300;26585
AAS1DModeChanDS;synthetic;300000;100;0;0;547;1000;8400000;200025423900;496530;5993688;2718643300;11719
AAS1DModeChanDS;synthetic;300000;100;0;0;547;5000;8400000;200025423900;525965;5993688;2718643300;2901
AAS1DModeChanDS;synthetic;300000;100;0;0;547;10000;8400000;200025423900;620724;5993688;2718643300;2342
AAS1DModeChanDS;synthetic;300000;100;0;0;547;30000;8400000;200025423900;509787;5993688;2718643300;2349
AAS1DModeChanDS;synthetic;300000;100;0;0;547;60000;8400000;200025423900;539040;5993688;2718643300;2409
AAS1DModeChanDS;synthetic;300000;100;0;0;547;100000;8400000;200025423900;511551;5993688;2718643300;2050
AAS1DModeChanDS;synthetic;300000;100;0;0;547;250000;8400000;200025423900;492860;5993688;2718643300;1230
AAS1DModeGridDS;synthetic;300000;100;0;0;547;5;8400000;196487898300;497680;4793688;2729583800;301
AAS1DModeGridDS;synthetic;300000;100;0;0;547;10;8400000;196487898300;499859;4793688;2729583800;701
AAS1DModeGridDS;synthetic;300000;100;0;0;547;50;8400000;196487898300;518755;4793688;2729583800;4161
AAS1DModeGridDS;synthetic;300000;100;0;0;547;100;8400000;196487898300;510055;4793688;2729583800;7650
AAS1DModeGridDS;synthetic;300000;100;0;0;547;500;8400000;196487898300;517437;4793688;2729583800;26648
AAS1DModeGridDS;synthetic;300000;100;0;0;547;1000;8400000;196487898300;513664;4793688;2729583800;37516
AAS1DModeGridDS;synthetic;300000;100;0;0;547;5000;8400000;196487898300;516185;4793688;2729583800;37280
AAS1DModeGridDS;synthetic;300000;100;0;0;547;10000;8400000;196487898300;504788;4793688;2729583800;36792
AAS1DModeGridDS;synthetic;300000;100;0;0;547;30000;8400000;196487898300;550938;4793688;2729583800;40618
AAS1DModeGridDS;synthetic;300000;100;0;0;547;60000;8400000;196487898300;514044;4793688;2729583800;43640
AAS1DModeGridDS;synthetic;300000;100;0;0;547;100000;8400000;196487898300;530587;4793688;2729583800;35663
AAS1DModeGridDS;synthetic;300000;100;0;0;547;250000;8400000;196487898300;516272;4793688;2729583800;30585
AAS1DModeReportDS;synthetic;300000;1000;0;0;547;5;8400000;192574553000;487489;1200000;317100;313
AAS1DModeReportDS;synthetic;300000;1000;0;0;547;10;8400000;192574553000;497043;1200000;317100;676
AAS1DModeReportDS;synthetic;300000;1000;0;0;547;50;8400000;192574553000;499776;1200000;317100;5742
AAS1DModeReportDS;synthetic;300000;1000;0;0;547;100;8400000;192574553000;501148;1200000;317100;11675
AAS1DModeReportDS;synthetic;300000;1000;0;0;547;500;8400000;192574553000;507623;1200000;317100;51913
AAS1DModeReportDS;synthetic;300000;1000;0;0;547;1000;8400000;192574553000;505914;1200000;317100;93879
AAS1DModeReportDS;synthetic;300000;1000;0;0;547;5000;8400000;192574553000;510418;1200000;317100;329710
AAS1DModeReportDS;synthetic;300000;1000;0;0;547;10000;8400000;192574553000;524408;1200000;317100;595966
AAS1DModeReportDS;synthetic;300000;1000;0;0;547;30000;8400000;192574553000;511538;1200000;317100;1973381
AAS1DModeReportDS;synthetic;300000;1000;0;0;547;60000;8400000;192574553000;602688;1200000;317100;3562603
AAS1DModeReportDS;synthetic;300000;1000;0;0;547;100000;8400000;192574553000;496273;1200000;317100;5158258
AAS1DModeReportDS;synthetic;300000;1000;0;0;547;250000;8400000;192574553000;495490;1200000;317100;14699182
AAS1DModeRangeTreesDS;synthetic;300000;1000;0;0;547;5;8400000;208399098700;600909;1200008;4501600;54641
AAS1DModeRangeTreesDS;synthetic;300000;1000;0;0;547;10;8400000;208399098700;599700;1200008;4501600;55789
AAS1DModeRangeTreesDS;synthetic;300000;1000;0;0;547;50;8400000;208399098700;573874;1200008;4501600;57638
AAS1DModeRangeTreesDS;synthetic;300000;1000;0;0;547;100;8400000;208399098700;597113;1200008;4501600;56026
AAS1DModeRangeTreesDS;synthetic;300000;1000;0;0;547;500;8400000;208399098700;568728;1200008;4501600;48100
AAS1DModeRangeTreesDS;synthetic;300000;1000;0;0;547;1000;8400000;208399098700;493138;1200008;4501600;53074
AAS1DModeRangeTreesDS;synthetic;300000;1000;0;0;547;5000;8400000;208399098700;617668;1200008;4501600;67524
AAS1DModeRangeTreesDS;synthetic;300000;1000;0;0;547;10000;8400000;208399098700;596871;1200008;4501600;75296
AAS1DModeRangeTreesDS;synthetic;300000;1000;0;0;547;30000;8400000;208399098700;604238;1200008;4501600;71491
AAS1DModeRangeTreesDS;synthetic;300000;1000;0;0;547;60000;8400000;208399098700;584671;1200008;4501600;70294
AAS1DModeRangeTreesDS;synthetic;300000;1000;0;0;547;100000;8400000;208399098700;597500;1200008;4501600;70144
AAS1DModeRangeTreesDS;synthetic;300000;1000;0;0;547;250000;8400000;208399098700;589629;1200008;4501600;46062
AAS1DModeChanDS;synthetic;300000;1000;0;0;547;5;8400000;202966782700;499676;5993688;6007223200;328
AAS1DModeChanDS;synthetic;300000;1000;0;0;547;10;8400000;202966782700;520315;5993688;6007223200;701
AAS1DModeChanDS;synthetic;300000;1000;0;0;547;50;8400000;202966782700;501756;5993688;6007223200;4803
AAS1DModeChanDS;synthetic;300000;1000;0;0;547;100;8400000;202966782700;498576;5993688;6007223200;9710
AAS1DModeChanDS;synthetic;300000;1000;0;0;547;500;8400000;202966782700;551796;5993688;6007223200;63941
AAS1DModeChanDS;synthetic;300000;1000;0;0;547;1000;8400000;202966782700;562015;5993688;6007223200;23667
AAS1DModeChanDS;synthetic;300000;1000;0;0;547;5000;8400000;202966782700;503887;5993688;6007223200;2276
AAS1DModeChanDS;synthetic;300000;1000;0;0;547;10000;8400000;202966782700;501334;5993688;6007223200;2439
AAS1DModeChanDS;synthetic;300000;1000;0;0;547;30000;8400000;202966782700;495693;5993688;6007223200;2237
AAS1DModeChanDS;synthetic;300000;1000;0;0;547;60000;8400000;202966782700;493307;5993688;6007223200;2196
AAS1DModeChanDS;synthetic;300000;1000;0;0;547;100000;8400000;202966782700;601747;5993688;6007223200;3410
AAS1DModeChanDS;synthetic;300000;1000;0;0;547;250000;8400000;202966782700;527967;5993688;6007223200;1673
AAS1DModeGridDS;synthetic;300000;1000;0;0;547;5;8400000;196263829400;563505;4793688;5251203300;337
AAS1DModeGridDS;synthetic;300000;1000;0;0;547;10;8400000;196263829400;512275;4793688;5251203300;775
AAS1DModeGridDS;synthetic;300000;1000;0;0;547;50;8400000;196263829400;504510;4793688;5251203300;4730
AAS1DModeGridDS;synthetic;300000;1000;0;0;547;100;8400000;196263829400;524210;4793688;5251203300;10254
AAS1DModeGridDS;synthetic;300000;1000;0;0;547;500;8400000;196263829400;500375;4793688;5251203300;51489
AAS1DModeGridDS;synthetic;300000;1000;0;0;547;1000;8400000;196263829400;574705;4793688;5251203300;98700
AAS1DModeGridDS;synthetic;300000;1000;0;0;547;5000;8400000;196263829400;530167;4793688;5251203300;86158
AAS1DModeGridDS;synthetic;300000;1000;0;0;547;10000;8400000;196263829400;514967;4793688;5251203300;86431
AAS1DModeGridDS;synthetic;300000;1000;0;0;547;30000;8400000;196263829400;508553;4793688;5251203300;85062
AAS1DModeGridDS;synthetic;300000;1000;0;0;547;60000;8400000;196263829400;501650;4793688;5251203300;88144
AAS1DModeGridDS;synthetic;300000;1000;0;0;547;100000;8400000;196263829400;572767;4793688;5251203300;113525
AAS1DModeGridDS;synthetic;300000;1000;0;0;547;250000;8400000;196263829400;514455;4793688;5251203300;85779
AAS1DModeReportDS;synthetic;300000;5000;0;0;547;5;8400000;196844408100;541001;1200000;289700;328
AAS1DModeReportDS;synthetic;300000;5000;0;0;547;10;8400000;196844408100;523714;1200000;289700;662
AAS1DModeReportDS;synthetic;300000;5000;0;0;547;50;8400000;196844408100;496691;1200000;289700;4498
