DSType;dataType;numPoints;numColors;gamma;alpha;s;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime
Amc::GridSelectColor;synthetic;75000;25000;0;0;42;5000;45005680;107846210;92455;20976520;35927221136;452454
Amc::GridSelectColor;synthetic;75000;25000;0;0;42;10000;45005680;107846210;93286;20976520;35927221136;614117
Amc::GridSelectColor;synthetic;75000;25000;0;0;42;25000;45005680;107846210;91471;20976520;35927221136;976950
Amc::GridSelectColor;synthetic;75000;25000;0;0;42;50000;45005680;107846210;87139;20976520;35927221136;1003584
Amc::GridSelectColor;synthetic;75000;25000;0;0;42;75000;45005680;107846210;78872;20976520;35927221136;1160736
Amc::GridColumnColor;synthetic;75000;25000;0;0;42;5;45005680;107495784;79439;20973056;35901906465;698746
Amc::GridColumnColor;synthetic;75000;25000;0;0;42;10;45005680;107495784;83493;20973056;35901906465;717534
Amc::GridColumnColor;synthetic;75000;25000;0;0;42;50;45005680;107495784;82929;20973056;35901906465;975972
Amc::GridColumnColor;synthetic;75000;25000;0;0;42;100;45005680;107495784;84816;20973056;35901906465;959859
Amc::GridColumnColor;synthetic;75000;25000;0;0;42;500;45005680;107495784;88206;20973056;35901906465;1306949
Amc::GridColumnColor;synthetic;75000;25000;0;0;42;1000;45005680;107495784;89996;20973056;35901906465;1084080
Amc::GridColumnColor;synthetic;75000;25000;0;0;42;5000;45005680;107495784;93505;20973056;35901906465;1237800
Amc::GridColumnColor;synthetic;75000;25000;0;0;42;10000;45005680;107495784;93947;20973056;35901906465;2121496
Amc::GridColumnColor;synthetic;75000;25000;0;0;42;25000;45005680;107495784;92998;20973056;35901906465;1014011
Amc::GridColumnColor;synthetic;75000;25000;0;0;42;50000;45005680;107495784;86852;20973056;35901906465;1272548
Amc::GridColumnColor;synthetic;75000;25000;0;0;42;75000;45005680;107495784;79551;20973056;35901906465;946744
Amc::GridSortedColor;synthetic;75000;25000;0;0;42;5;45005680;107909088;79952;20973840;36198453187;617619
Amc::GridSortedColor;synthetic;75000;25000;0;0;42;10;45005680;107909088;81151;20973840;36198453187;613391
Amc::GridSortedColor;synthetic;75000;25000;0;0;42;50;45005680;107909088;82902;20973840;36198453187;820955
Amc::GridSortedColor;synthetic;75000;25000;0;0;42;100;45005680;107909088;83634;20973840;36198453187;867143
Amc::GridSortedColor;synthetic;75000;25000;0;0;42;500;45005680;107909088;87831;20973840;36198453187;967875
Amc::GridSortedColor;synthetic;75000;25000;0;0;42;1000;45005680;107909088;89618;20973840;36198453187;1036199
Amc::GridSortedColor;synthetic;75000;25000;0;0;42;5000;45005680;107909088;92968;20973840;36198453187;1209609
Amc::GridSortedColor;synthetic;75000;25000;0;0;42;10000;45005680;107909088;93654;20973840;36198453187;1053934
Amc::GridSortedColor;synthetic;75000;25000;0;0;42;25000;45005680;107909088;91327;20973840;36198453187;1415417
Amc::GridSortedColor;synthetic;75000;25000;0;0;42;50000;45005680;107909088;86717;20973840;36198453187;1240265
Amc::GridSortedColor;synthetic;75000;25000;0;0;42;75000;45005680;107909088;79397;20973840;36198453187;1154046
Amc::GridNoColor;synthetic;100000;25000;0;0;46;5;61405680;158429673;92242;29896880;64170183573;739118
Amc::GridNoColor;synthetic;100000;25000;0;0;46;10;61405680;158429673;91569;29896880;64170183573;828262
Amc::GridNoColor;synthetic;100000;25000;0;0;46;50;61405680;158429673;95703;29896880;64170183573;1204579
Amc::GridNoColor;synthetic;100000;25000;0;0;46;100;61405680;158429673;95155;29896880;64170183573;1241614
