DSType;numPoints;numColors;gamma;alpha;r;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime
AAS1DModeRangeTreeDS;100000;1;-1;-1;316;50;2800000;6777317900;44548;800004;657400;192
AAS1DModeRangeTreeDS;100000;1;-1;-1;316;100;2800000;6777317900;49452;800004;657400;195
AAS1DModeRangeTreeDS;100000;1;-1;-1;316;500;2800000;6777317900;43313;800004;657400;278
AAS1DModeRangeTreeDS;100000;1;-1;-1;316;1000;2800000;6777317900;63621;800004;657400;187
AAS1DModeRangeTreeDS;100000;1;-1;-1;316;5000;2800000;6777317900;39320;800004;657400;148
AAS1DModeRangeTreeDS;100000;1;-1;-1;316;10000;2800000;6777317900;32784;800004;657400;139
AAS1DModeRangeTreeDS;100000;1;-1;-1;316;30000;2800000;6777317900;31396;800004;657400;118
AAS1DModeRangeTreeDS;100000;1;-1;-1;316;60000;2800000;6777317900;38682;800004;657400;97
AAS1DModeRangeTreeDS;100000;100;-1;-1;316;5;2800000;4791916000;33304;800004;564700;5702
AAS1DModeRangeTreeDS;100000;100;-1;-1;316;10;2800000;4791916000;32023;800004;564700;5776
AAS1DModeRangeTreeDS;100000;100;-1;-1;316;50;2800000;4791916000;29511;800004;564700;6026
AAS1DModeRangeTreeDS;100000;100;-1;-1;316;100;2800000;4791916000;29616;800004;564700;6177
AAS1DModeRangeTreeDS;100000;100;-1;-1;316;500;2800000;4791916000;30920;800004;564700;6530
AAS1DModeRangeTreeDS;100000;100;-1;-1;316;1000;2800000;4791916000;30234;800004;564700;6387
AAS1DModeRangeTreeDS;100000;100;-1;-1;316;5000;2800000;4791916000;29800;800004;564700;6442
AAS1DModeRangeTreeDS;100000;100;-1;-1;316;10000;2800000;4791916000;30007;800004;564700;6361
AAS1DModeRangeTreeDS;100000;100;-1;-1;316;30000;2800000;4791916000;30427;800004;564700;5528
AAS1DModeRangeTreeDS;100000;100;-1;-1;316;60000;2800000;4791916000;30434;800004;564700;3852
AAS1DModeRangeTreeDS;100000;1000;-1;-1;316;5;2800000;5031359200;36072;800004;3989800;27609
AAS1DModeRangeTreeDS;100000;1000;-1;-1;316;10;2800000;5031359200;36726;800004;3989800;29045
AAS1DModeRangeTreeDS;100000;1000;-1;-1;316;50;2800000;5031359200;33527;800004;3989800;28587
AAS1DModeRangeTreeDS;100000;1000;-1;-1;316;100;2800000;5031359200;37291;800004;3989800;30811
AAS1DModeRangeTreeDS;100000;1000;-1;-1;316;500;2800000;5031359200;38497;800004;3989800;34565
AAS1DModeRangeTreeDS;100000;1000;-1;-1;316;1000;2800000;5031359200;38697;800004;3989800;36030
AAS1DModeRangeTreeDS;100000;1000;-1;-1;316;5000;2800000;5031359200;33629;800004;3989800;41645
AAS1DModeRangeTreeDS;100000;1000;-1;-1;316;10000;2800000;5031359200;35785;800004;3989800;41630
AAS1DModeRangeTreeDS;100000;1000;-1;-1;316;30000;2800000;5031359200;34966;800004;3989800;38959
AAS1DModeRangeTreeDS;100000;1000;-1;-1;316;60000;2800000;5031359200;32807;800004;3989800;31741
AAS1DModeRangeTreeDS;100000;10000;-1;-1;316;5;2800000;4589589700;45358;800004;12020800;172179
AAS1DModeRangeTreeDS;100000;10000;-1;-1;316;10;2800000;4589589700;36695;800004;12020800;171393
