DSType;numPoints;numColors;gamma;alpha;r;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime
AAS1DModeChanDS;6278;19;0;0;79.2338;10;175784;12465300;2290;125280;52495100;184
AAS1DModeChanDS;6278;19;0;0;79.2338;50;175784;12465300;2274;125280;52495100;131
AAS1DModeChanDS;6278;19;0;0;79.2338;100;175784;12465300;2888;125280;52495100;217
AAS1DModeChanDS;6278;19;0;0;79.2338;500;175784;12465300;4402;125280;52495100;344
AAS1DModeChanDS;6278;19;0;0;79.2338;1000;175784;12465300;2975;125280;52495100;70
AAS1DModeChanDS;6278;19;0;0;79.2338;5000;175784;12465300;2218;125280;52495100;65
AAS1DModeChanDS;6271;18;0;0;79.1896;5;175588;9492500;2300;125196;42798200;164
AAS1DModeChanDS;6271;18;0;0;79.1896;10;175588;9492500;2253;125196;42798200;218
AAS1DModeChanDS;6271;18;0;0;79.1896;50;175588;9492500;2254;125196;42798200;132
AAS1DModeChanDS;6271;18;0;0;79.1896;100;175588;9492500;2213;125196;42798200;131
AAS1DModeChanDS;6271;18;0;0;79.1896;500;175588;9492500;2382;125196;42798200;127
AAS1DModeChanDS;6271;18;0;0;79.1896;1000;175588;9492500;2268;125196;42798200;68
AAS1DModeChanDS;6271;18;0;0;79.1896;5000;175588;9492500;2409;125196;42798200;61
AAS1DModeRangeTreeDS;6218;18;0;0;78.8543;5;174104;8909700;2535;49748;62100;512
AAS1DModeRangeTreeDS;6218;18;0;0;78.8543;10;174104;8909700;2935;49748;62100;224
AAS1DModeRangeTreeDS;6218;18;0;0;78.8543;50;174104;8909700;2183;49748;62100;224
AAS1DModeRangeTreeDS;6218;18;0;0;78.8543;100;174104;8909700;2244;49748;62100;216
AAS1DModeRangeTreeDS;6218;18;0;0;78.8543;500;174104;8909700;2171;49748;62100;218
AAS1DModeRangeTreeDS;6218;18;0;0;78.8543;1000;174104;8909700;2199;49748;62100;224
AAS1DModeRangeTreeDS;6218;18;0;0;78.8543;5000;174104;8909700;2175;49748;62100;207
AAS1DModeRangeTreeDS;6223;17;0;0;78.886;5;174244;9230600;5072;49788;84900;433
AAS1DModeRangeTreeDS;6223;17;0;0;78.886;10;174244;9230600;4098;49788;84900;213
AAS1DModeRangeTreeDS;6223;17;0;0;78.886;50;174244;9230600;2493;49788;84900;264
AAS1DModeRangeTreeDS;6223;17;0;0;78.886;100;174244;9230600;2691;49788;84900;221
AAS1DModeRangeTreeDS;6223;17;0;0;78.886;500;174244;9230600;2234;49788;84900;218
AAS1DModeRangeTreeDS;6223;17;0;0;78.886;1000;174244;9230600;2239;49788;84900;282
AAS1DModeRangeTreeDS;6223;17;0;0;78.886;5000;174244;9230600;2353;49788;84900;210
AAS1DModeRangeTreeDS;6277;18;0;0;79.2275;5;175756;23600200;3789;50220;135800;357
AAS1DModeRangeTreeDS;6277;18;0;0;79.2275;10;175756;23600200;2526;50220;135800;219
AAS1DModeRangeTreeDS;6277;18;0;0;79.2275;50;175756;23600200;2498;50220;135800;226
AAS1DModeRangeTreeDS;6277;18;0;0;79.2275;100;175756;23600200;3016;50220;135800;429
AAS1DModeRangeTreeDS;6277;18;0;0;79.2275;500;175756;23600200;3010;50220;135800;224
AAS1DModeRangeTreeDS;6277;18;0;0;79.2275;1000;175756;23600200;2318;50220;135800;225
AAS1DModeRangeTreeDS;6277;18;0;0;79.2275;5000;175756;23600200;2921;50220;135800;323
AAS1DModeRangeTreeDS;6274;17;0;0;79.2086;5;175672;8695200;2328;50196;34200;211
AAS1DModeRangeTreeDS;6274;17;0;0;79.2086;10;175672;8695200;2220;50196;34200;210
AAS1DModeRangeTreeDS;6274;17;0;0;79.2086;50;175672;8695200;2214;50196;34200;217
AAS1DModeRangeTreeDS;6274;17;0;0;79.2086;100;175672;8695200;2260;50196;34200;219
AAS1DModeRangeTreeDS;6274;17;0;0;79.2086;500;175672;8695200;2943;50196;34200;216
AAS1DModeRangeTreeDS;6274;17;0;0;79.2086;1000;175672;8695200;4462;50196;34200;267
AAS1DModeRangeTreeDS;6274;17;0;0;79.2086;5000;175672;8695200;3501;50196;34200;221
AAS1DModeRangeTreeDS;6300;17;0;0;79.3725;5;176400;13730400;2487;50404;47000;216
AAS1DModeRangeTreeDS;6300;17;0;0;79.3725;10;176400;13730400;2533;50404;47000;428
AAS1DModeRangeTreeDS;6300;17;0;0;79.3725;50;176400;13730400;4776;50404;47000;255
AAS1DModeRangeTreeDS;6300;17;0;0;79.3725;100;176400;13730400;3962;50404;47000;276
AAS1DModeRangeTreeDS;6300;17;0;0;79.3725;500;176400;13730400;2259;50404;47000;218
AAS1DModeRangeTreeDS;6300;17;0;0;79.3725;1000;176400;13730400;2490;50404;47000;367
AAS1DModeRangeTreeDS;6300;17;0;0;79.3725;5000;176400;13730400;3447;50404;47000;258
AAS1DModeRangeTreeDS;6276;19;0;0;79.2212;5;175728;11602300;2512;50212;65600;261
AAS1DModeRangeTreeDS;6276;19;0;0;79.2212;10;175728;11602300;2516;50212;65600;223
AAS1DModeRangeTreeDS;6276;19;0;0;79.2212;50;175728;11602300;2288;50212;65600;226
AAS1DModeRangeTreeDS;6276;19;0;0;79.2212;100;175728;11602300;2235;50212;65600;233
