DSType;numPoints;numColors;gamma;alpha;r;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime
AAS1DModeChanDS;100000;1000;100;0.5;316;50;2800000;11368607900;70805;1998864;150271013000;6743
AAS1DModeChanDS;100000;1000;100;0.5;316;100;2800000;11368607900;70980;1998864;150271013000;12181
AAS1DModeChanDS;100000;1000;100;0.5;316;500;2800000;11368607900;70916;1998864;150271013000;5067
AAS1DModeChanDS;100000;1000;100;0.5;316;1000;2800000;11368607900;68483;1998864;150271013000;5780
AAS1DModeChanDS;100000;1000;100;0.5;316;5000;2800000;11368607900;71378;1998864;150271013000;4428
AAS1DModeChanDS;100000;1000;100;0.5;316;10000;2800000;11368607900;74396;1998864;150271013000;4008
AAS1DModeChanDS;100000;1000;100;0.5;316;30000;2800000;11368607900;69502;1998864;150271013000;3514
AAS1DModeChanDS;100000;1000;100;0.5;316;60000;2800000;11368607900;67747;1998864;150271013000;2830
AAS1DModeChanDS;100000;1000;100;0.6;316;5;2800000;9890326800;67651;1998864;125637099600;433
AAS1DModeChanDS;100000;1000;100;0.6;316;10;2800000;9890326800;69212;1998864;125637099600;979
AAS1DModeChanDS;100000;1000;100;0.6;316;50;2800000;9890326800;79510;1998864;125637099600;5699
AAS1DModeChanDS;100000;1000;100;0.6;316;100;2800000;9890326800;78677;1998864;125637099600;10734
AAS1DModeChanDS;100000;1000;100;0.6;316;500;2800000;9890326800;73702;1998864;125637099600;4611
AAS1DModeChanDS;100000;1000;100;0.6;316;1000;2800000;9890326800;73749;1998864;125637099600;5118
AAS1DModeChanDS;100000;1000;100;0.6;316;5000;2800000;9890326800;71080;1998864;125637099600;4228
AAS1DModeChanDS;100000;1000;100;0.6;316;10000;2800000;9890326800;72228;1998864;125637099600;3647
AAS1DModeChanDS;100000;1000;100;0.6;316;30000;2800000;9890326800;71608;1998864;125637099600;3063
AAS1DModeChanDS;100000;1000;100;0.6;316;60000;2800000;9890326800;68546;1998864;125637099600;2553
AAS1DModeChanDS;100000;1000;100;0.7;316;5;2800000;9375076700;76164;1998864;110289123100;726
AAS1DModeChanDS;100000;1000;100;0.7;316;10;2800000;9375076700;75087;1998864;110289123100;1034
AAS1DModeChanDS;100000;1000;100;0.7;316;50;2800000;9375076700;76340;1998864;110289123100;4842
AAS1DModeChanDS;100000;1000;100;0.7;316;100;2800000;9375076700;75836;1998864;110289123100;7634
AAS1DModeChanDS;100000;1000;100;0.7;316;500;2800000;9375076700;74076;1998864;110289123100;4169
AAS1DModeChanDS;100000;1000;100;0.7;316;1000;2800000;9375076700;74890;1998864;110289123100;4754
AAS1DModeChanDS;100000;1000;100;0.7;316;5000;2800000;9375076700;72906;1998864;110289123100;2605
AAS1DModeChanDS;100000;1000;100;0.7;316;10000;2800000;9375076700;74723;1998864;110289123100;3275
AAS1DModeChanDS;100000;1000;100;0.7;316;30000;2800000;9375076700;72481;1998864;110289123100;3439
AAS1DModeChanDS;100000;1000;100;0.7;316;60000;2800000;9375076700;78085;1998864;110289123100;2270
AAS1DModeChanDS;100000;1000;100;0.8;316;5;2800000;9188963100;70185;1998864;89883324900;352
AAS1DModeChanDS;100000;1000;100;0.8;316;10;2800000;9188963100;72750;1998864;89883324900;1111
AAS1DModeChanDS;100000;1000;100;0.8;316;50;2800000;9188963100;64262;1998864;89883324900;1988
AAS1DModeChanDS;100000;1000;100;0.8;316;100;2800000;9188963100;66037;1998864;89883324900;3955
AAS1DModeChanDS;100000;1000;100;0.8;316;500;2800000;9188963100;72799;1998864;89883324900;3922
AAS1DModeChanDS;100000;1000;100;0.8;316;1000;2800000;9188963100;75857;1998864;89883324900;3960
AAS1DModeChanDS;100000;1000;100;0.8;316;5000;2800000;9188963100;75095;1998864;89883324900;2780
AAS1DModeChanDS;100000;1000;100;0.8;316;10000;2800000;9188963100;75088;1998864;89883324900;2107
AAS1DModeChanDS;100000;1000;100;0.8;316;30000;2800000;9188963100;67117;1998864;89883324900;2468
